serial_number,order_id,customer_id,customer_name,Gender,email,phone_number,address,product_id,product_name,product_category,supplier_id,supplier_name,supplier_phone,supplier_email,inventory_id,location,stock_quantity,quantity,unit_price,order_date,order_status,remaining_stock
1,1,348,Patricia Harris,Male,hughesdaniel@gonzalez.com,001-394-570-3943x804,"3765 Joyce Rapids, South Timothy, LA 87929",20,Economy Per,Sports,30,"Nelson, Morton and Medina",769.453.1473x7996,anthony52@lewis-salinas.com,20,Store 1,22,4,81.23,2025-09-07,Delivered,22
2,1,348,Patricia Harris,Male,hughesdaniel@gonzalez.com,001-394-570-3943x804,"3765 Joyce Rapids, South Timothy, LA 87929",170,Need Bar,Clothing,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,170,Warehouse B,231,1,420.73,2025-09-07,Delivered,231
3,2,191,Stephanie Patel,Male,copelandlisa@hotmail.com,+1-164-709-0063x35331,"53131 Jennifer Cape, Huntmouth, OH 82655",244,Whom Hard,Toys,4,Cohen Inc,056.413.9537,pwilkerson@thomas-taylor.net,244,Store 2,347,3,367.73,2025-09-05,Delivered,347
4,3,294,Becky Foster,Male,duncangregory@wang.biz,+1-653-694-5515,"67747 Sandra Fall Suite 408, Kathrynburgh, CT 50747",11,Able Factor,Sports,49,Taylor Inc,711-382-6758x6926,basschristina@johnson-wood.info,11,Warehouse B,443,3,58.37,2025-06-19,Delivered,443
5,3,294,Becky Foster,Male,duncangregory@wang.biz,+1-653-694-5515,"67747 Sandra Fall Suite 408, Kathrynburgh, CT 50747",156,Will Bank,Clothing,15,"Warner, Carr and Archer",+1-808-412-4118x2449,jenniferharris@farrell.com,156,Store 1,66,1,81.84,2025-06-19,Delivered,66
6,3,294,Becky Foster,Male,duncangregory@wang.biz,+1-653-694-5515,"67747 Sandra Fall Suite 408, Kathrynburgh, CT 50747",144,Generation Call,Home,43,Harrison LLC,961-586-5780x91343,hamiltoncorey@padilla.com,144,Store 2,485,2,343.22,2025-06-19,Delivered,485
7,3,294,Becky Foster,Male,duncangregory@wang.biz,+1-653-694-5515,"67747 Sandra Fall Suite 408, Kathrynburgh, CT 50747",51,Picture Nice,Toys,24,Manning Group,434.873.4714x345,patricia12@hall.com,51,Store 2,191,1,123.53,2025-06-19,Delivered,191
8,4,204,Matthew Ray,Male,jcarter@gmail.com,305.912.6620,"01859 Booker Road Suite 301, South Tracy, PA 23109",227,Left Leg,Beauty,47,"Anderson, Browning and Murphy",(232)858-8424x74517,taylortammy@ramsey.net,227,Warehouse B,46,1,259.19,2025-08-03,Delivered,46
9,5,128,Paul Villanueva,Other,nguyencorey@gutierrez.com,970.623.9726x5273,"52090 Taylor Walk Suite 762, Jeffreyport, GA 84124",214,War Analysis,Grocery,24,Manning Group,434.873.4714x345,patricia12@hall.com,214,Store 1,58,2,355.12,2025-06-13,Pending,58
10,6,96,Robert Davis,Female,jessicacummings@yahoo.com,(791)940-9610,"PSC 5566, Box 1390, APO AP 83363",109,According Course,Toys,14,Stewart-Walton,079-911-8384,sarahibarra@wood.info,109,Warehouse A,274,2,242.42,2025-09-19,Delivered,274
